Price,Percentage
0.09,0.4444%
0.1,0.4000%
0.11,0.3636%
0.12,0.3333%
0.13,0.3077%
0.14,0.2857%
0.15,0.2667%
0.16,0.2500%
0.17,0.2353%
0.18,0.2222%
0.19,0.2105%
0.2,0.2000%
0.21,0.1905%
0.22,0.1818%
0.23,0.1739%
0.24,0.1667%
0.25,0.1600%
0.26,0.1538%
0.27,0.1481%
0.28,0.1429%
0.29,0.1379%
0.3,0.1333%
0.31,0.1290%
0.32,0.1250%
0.33,0.1212%
0.34,0.1176%
0.35,0.1143%
0.36,0.1111%
0.37,0.1081%
0.38,0.1053%
0.39,0.1026%
0.4,0.1000%
0.41,0.0976%
0.42,0.0952%
0.43,0.0930%
0.44,0.0909%
0.45,0.0889%
0.46,0.0870%
0.47,0.0851%
0.48,0.0833%
0.49,0.0816%
0.5,0.0800%
